OID_,TARGET_FID,StationCode,SampleDate,CollectionDepth,FIRST_TargetLatitude,FIRST_TargetLongitude,FIRST_StationName,FIRST_CollectionMethodName,HUC10,HUC12,RASTERVALU
1,44,544DMC020,1/27/2010 0:00:00,0.000000000000000,37.812389000000003,-121.578872700000005,DMC off HWY 4 ,Field Method,1804000306.000000000000000,180400030604.000000000000000,6
2,101,544DMC020,2/23/2010 0:00:00,0.000000000000000,37.812389000000003,-121.578872700000005,DMC off HWY 4 ,Field Method,1804000306.000000000000000,180400030604.000000000000000,6
3,1468,544ORAWCC,4/2/2013 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
4,1518,544ORAWCC,5/21/2013 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
5,1548,544ORAWCC,6/18/2013 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
6,1571,544ORAWCC,7/16/2013 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
7,1594,544ORAWCC,8/20/2013 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
8,1720,544ORAWCC,2/11/2014 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
9,1801,544ORAWCC,5/20/2014 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
10,1825,544ORAWCC,6/17/2014 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
11,1842,544ORAWCC,7/15/2014 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
12,1868,544ORAWCC,8/19/2014 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
13,1955,544ORAWCC,2/9/2015 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
14,2051,544ORAWCC,5/19/2015 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
15,2076,544ORAWCC,6/16/2015 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
16,2101,544ORAWCC,7/21/2015 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
17,2128,544ORAWCC,8/18/2015 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
18,2262,544ORAWCC,1/6/2016 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
19,2358,544ORAWCC,5/17/2016 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
20,2385,544ORAWCC,6/21/2016 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
21,2412,544ORAWCC,7/19/2016 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
22,2439,544ORAWCC,8/16/2016 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
23,2550,544ORAWCC,1/5/2017 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
24,2658,544ORAWCC,5/16/2017 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
25,2679,544ORAWCC,6/20/2017 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
26,2697,544ORAWCC,7/18/2017 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
27,2708,544ORAWCC,8/22/2017 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
28,2765,544ORAWCC,1/11/2018 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
29,2847,544ORAWCC,5/15/2018 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
30,2885,544ORAWCC,6/19/2018 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
31,2925,544ORAWCC,7/17/2018 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
32,2986,544ORAWCC,8/21/2018 0:00:00,0.000000000000000,37.841949000000000,-121.537208600000000,Old River @ the West End of Clifton Court Rd,Field Method,1804000309.000000000000000,180400030901.000000000000000,0
