,,Phylum:,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Annelida,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Arthropoda,Chordata,Chordata,Cnidaria,Cnidaria,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Mollusca,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nemertea,Nemertea,Nemertea,Nemertea,Phoronida,Platyhelminthes,Platyhelminthes,Platyhelminthes,Platyhelminthes,Platyhelminthes,Platyhelminthes,Platyhelminthes
,,Class:,Hirudinea,Hirudinea,Hirudinea,Hirudinea,Oligachaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Oligochaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,Polychaeta,x,x,Arachnida,Arachnida,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Crustacea,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Insecta,Pycnogonida,Pycnogonida,Pycnogonida,Pycnogonida,Ascidacea,Ascidacea,Anthozoa,Hydrozoa,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Bivalvia,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Gastropoda,Adenophorea,Adenophorea,Adenophorea,Adenophorea,unknown,unknown,unknown,unknown,Anopla,Enopla,unknown,unknown,unknown,Turbellaria,Turbellaria,Turbellaria,Turbellaria,Turbellaria,Turbellaria,unknown
,,Order:,Arhynchobdellida,Rhynchobdellida,Rhynchobdellida,Rhynchobdellida,Tubificida,Lumbriculida,Lumbriculida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Tubificida,Capitellida,Capitellida,Capitellida,Capitellida,Eunicida,Ophelida,Orbiniida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Phyllodocida,Sabellida,Sabellida,Sabellida,Sabellida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Spionida,Terebellida,x,x,Hydracarina,Hydracarina,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Amphipoda,Cumacea,Cumacea,Cumacea,Cyclopoida,Cyclopoida,Decapoda,Decapoda,Decapoda,Decapoda,Decapoda,Decapoda,Decapoda,Decapoda,Decapoda,Decapoda,Decapoda,Isopoda,Isopoda,Isopoda,Isopoda,Isopoda,Isopoda,Isopoda,Isopoda,Mysidacea,Mysidacea,Mysidacea,Mysidacea,Mysidacea,Mysidae,Podocopida,Podocopida,Podocopida,Podocopida,Podocopida,Podocopida,Tanaidacea,Thoracica,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Diptera,Odonata,Odonata,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Pantopoda,Pantopoda,Pantopoda,Pantopoda,Pleurogona,Pleurogona,Actinaria,Hydrida,Myoida,Myoida,Myoida,Myoida,Mytiloida,Mytiloida,Mytiloida,Mytiloida,Mytiloida,Pholadomyoida,Pterioida,Schizodonta,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Veneroida,Cephalaspidea,Cephalaspidea,Limnophila,Limnophila,Limnophila,Limnophila,Limnophila,Limnophila,Mesogastropoda,Mesogastropoda,Mesogastropoda,Mesogastropoda,Mesogastropoda,Mesogastropoda,Mesogastropoda,Nudibranchia,Nudibranchia,Araeolaimida,Dorylaimida,Dorylaimida,Mermithida,Dorylaimida,unknown,unknown,unknown,Paleonemertea,Hoplonemertea,unknown,unknown,unknown,Tricladida,Tricladida,Tricladida,Tricladida,unknown,unknown,unknown
,,Family:,Erpobdellidae,Glossiphoniidae,Glossiphoniidae,Glossiphoniidae,Tubificidae,Lumbriculidae,Lumbriculidae,Enchytraeidae,Enchytraeidae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Naididae,Sparganophilidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Tubificidae,Capitellidae,Capitellidae,Maldanidae,Pectinariidae,Lumbrineridae,Opheliidae,Orbiniidae,Chrysopetalidae,Dorvilleidae,Glyceridae,Goniadidae,Nephtyidae,Nephtyidae,Nereididae,Nereididae,Nereididae,Phyllodocidae,Phyllodocidae,Polynoidae,Syllidae,Syllidae,Syllidae,Sabellidae,Sabellidae,Sabellidae,Sabellidae,Cirratulidae,Cirratulidae,Cirratulidae,Cirratulidae,Spionidae,Spionidae,Spionidae,Spionidae,Spionidae,Spionidae,Spionidae,Spionidae,Spionidae,Spionidae,Terebellidae,Naididae,Spionidae,Limnesiidae,Sperchontidae,Ampeliscidae,Ampeliscidae,Ampithoidae,Ampithoidae,Aoridae,Caprellidae,Caprellidae,Corophiidae,Corophiidae,Corophiidae,Corophiidae,Corophiidae,Corophiidae,Corophiidae,Crangonyctidae,Dexaminidae,Gammaridae,Hyalellidae,Isaeidae,Melitidae,Oedicerotidae,Phoxocephalidae,Pleustidae,Stenothoidae,Leuconidae,Leuconidae,Nannastacidae,Cyclopidae,Notodelphyidae,Crangonidae,Crangonidae,Crangonidae,Inachoididae,Palaemonidae,Panopeidae,Pinnotheridae,Pinnotheridae,Thoridae,Upogebiidae,Varunidae,Asellidae,Asellidae,Cirolanidae,Idoteidae,Munnidae,Paranthuridae,Sphaeromatidae,Sphaeromatidae,Mysidae,Mysidae,Mysidae,Mysidae,Mysidae,Mysidae,Candonidae,Cyprididae,Cyprididae,Cyprididae,Cytheridae,Sarsiellidae,Tanaidae,Balanidae,Ceratopogonidae,Ceratopogonidae,Ceratopogonidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Chironomidae,Coenagrionidae,Gomphidae,Hydroptilidae,Hydroptilidae,Leptoceridae,Leptoceridae,Ammotheidae,Ammotheidae,Pycnogonidae,Pycnogonidae,Molgulidae,Styelidae,Diadumenidae,Hydridae,Corbulidae,Myidae,Myidae,Pholadidae,Mytilidae,Mytilidae,Mytilidae,Mytilidae,Semelidae,Lyonsiidae,Ostreidae,Unionidae,Cardiidae,Corbiculidae,Solenidae,Solenidae,Sphaeriidae,Sphaeriidae,Sphaeriidae,Tellinidae,Tellinidae,Tellinidae,Veneridae,Veneridae,Aglajidae,Philinidae,Ancylidae,Lymnaeidae,Physidae,Planorbidae,Planorbidae,Planorbidae,Calyptraeidae,Hydrobiidae,Thiaridae,Unknown,Unknown,Unknown,Unknown,Facelinidae,Okeniidae,Plectidae,Dorylaimidae,Dorylaimidae,Mermithidae,Alaimidae,Unknown,Unknown,Unknown,Unknown,Tetrastemmatidae,Unknown,Unknown,Phoronidae,Planariidae,Planariidae,Unknown,Unknown,Unknown,Unknown,Unknown
,,Genus:,Mooreobdella,Gloiobdella,Helobdella,Helobdella,Tectidrilus,Altmanella,Lumbriculus,Enchytraeus,Unknown,Arcteonais,Dero,Dero,Dero,Nais,Nais,Nais,Ophidonais,Paranais,Pristina,Slavina,Stylaria,Uncinais,Vejdovskyella,Sparganophilus,Aulodrilus,Aulodrilus,Aulodrilus,Bothrioneurum,Branchiura,Ilyodrilus,Ilyodrilus,Limnodrilus,Limnodrilus,Limnodrilus,Potamothrix,Psammoryctides,Quistadrilus,Spirosperma,Teneridrilus,Tubificoides,Tubificoides,Tubificoides,Tubificoides,Tubificoides,Varichaetadrilus,Capitella,Heteromastus,Sabaco,Pectinaria,Scoletoma,Armandia,Haploscoloplos,Paleanotus,Dorvillea,Glycera,Glycinde,Nephtys,Nephtys,Alitta,Alitta,Hedistes,Eteone,Phyllodoce,Harmothoe,Exogone,Sphaerosyllis,Typosyllis,Euchone,Laonome,Manayunkia,Myxicola,Caulleriella,Chaetozone,Cirriformia,Tharyx,Boccardiella,Dipolydora,Dipolydora,Marenzelleria,Polydora,Pseudopolydora,Pseudopolydora,Scolelepis,Scolelepis,Streblospio,Amaeana,Stephensoniana,Spiophanes,Limnesia,Sperchon,Ampelisca,Ampelisca,Ampithoe,Ampithoe,Grandidierella,Caprella,Caprella,Americorophium,Americorophium,Corophium,Corophium,Monocorophium,Monocorophium,Monocorophium,Crangonyx,Paradexamine,Gammarus,Hyalella,Photis,Melita,Americhelidium,Grandifoxus,Gnathopleustes,Stenothoe,Eudorella,Nippoleucon,Cumella,Unknown,Pygodelphys,Crangon,Crangon,Crangon,Pyromaia,Palaemon,Rhithropanopeus,Pinnixa,Scleroplax,Heptacarpus,Upogebia,Hemigrapsus,Asellus,Caecidotea,Excirolana,Synidotea,Uromunna,Paranthura,Gnorimosphaeroma,Gnorimosphaeroma,Acanthomysis,Alienacanthomysis,Hyperacanthomysis,Neomysis,Neomysis,Neomysis,Candona,Cypricercus,Herpetocypris,Isocypris,Cyprideis,Eusarsiella,Sinelobus,Balanus,Palpomyia,Probezzia,Sphaeromias,Ablabesmyia,Chironomus,Cladopelma,Cryptochironomus,Cryptochironomus,Cryptochironomus,Cryptotendipes,Cyphomella,Demicryptochironomus,Dicrotendipes,Dicrotendipes,Endochironomus,Harnischia,Microchironomus,Micropsectra,Monodiamesa,Paracladopelma,Paracladopelma,Paratanytarsus,Paratendipes,Phaenopsectra,Polypedilum,Procladius,Psectrocladius,Stictochironomus,Tanytarsus,Xenochironomus,Enallagma,Stylurus,Hydroptila,Oxyethira,Nectopsyche,Oecetis,Achelia,Ammothea,Pycnogonum,Pycnogonum,Molgula,Styela,Diadumene,Hydra,Potamocorbula,Cryptomya,Mya,Zirfaea,Modiolus,Modiolus,Musculista,Mytilus,Theora,Lyonsia,Ostrea,Anodonta,Clinocardium,Corbicula,Siliqua,Solen,Musculium,Pisidium,Pisidium,Macoma,Macoma,Macoma,Gemma,Venerupis,Melanochlamys,Philine,Ferrissia,Lymnaea,Physa,Gyraulus,Helisoma,Micromenetus,Crepidula,Fluminicola,Melanoides,Hydrobiodea,Hydrobioidea,Hydrobioidea,Hydrobioidea,Sakuraeolis,Okenia,Teratocephalus,actinolaiminae,Dorylaimus,Mermithid,Amphidelus,Nema,Unknown,Unknown,Unknown,Prostoma,Nemertea,Nemertea,Phoronopsis,Dugesia,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
,,Species:,microstoma,elongata,stagnalis,triserialis,diversus,freidris,variegatus,sp. A,enchytraeid sp. C,lomondi,digitata,nivea,trifida,communis / variabilis,pardalis,simplex,serpentina,frici,leidyi,appendiculata,lacustris,uncinata,intermedia,eiseni,japonicus,limnobius,pigueti,vejdovskyanum,sowerbyi,frantzi,templetoni,claparedianus,hoffmeisteri,udekemianus,bavaricus,californianus,multisetosus,nikolskyi,mastix,brownae,fraseri,heterochaetus,motei,wasselli,angustipenis,sp A,filiformis,elongatus,californiensis,luti,brevis,elongatus,bellis,longicornis,americana,armigera,caecoides,cornuta franciscana,brandti/virens,succinea,limnicola,lighti,groenlandica,imbricata,lourei,californiensis,nipponica,limnicola,calida,speciosa,infundibulum,sp. A,sp. A,moorei,parvus,ligerica,caulleryi,socialis,neglecta,cornuta,kempi,paucibranchiata,sp. A,squamata,benedicti,sp. A,trivandrana,duplex,sp. A,sp A,abdita,lobata,plumulosa,valida,japonica,mendax,scaura,spinicorne,stimpsoni,alienense,heteroceratum,acherusicum,insidiosum,uenoi,floridanus,sp. A,daiberi,sp. A,brevipes,nitida,shoemakeri,grandis,pugettensis,valida,pacifica,hinumensis,vulgaris,Cyclopid sp. A,sp. A,franciscorum,nigricauda,nigrimaculata,tuberculata,macrodactylus,harrisii,scamit,granulata,stimpsoni,pugettensis,oregonensis,hilgendorfii,racovitzai,linguifrons,laevidorsalis,sp. A,elegans,insulare,oregonense,aspera,macropsis,longirostris,kadiakensis,mercedis,japonica,sp. A,sp. A,brevicaudata,sp. A,sp. A,zostericola,stanfordi,improvisus,sp. A,sp. A,sp. A,sp. A,attenuatus,sp. A,sp. A,sp. B,sp. C,sp. A,sp. A,sp. A,sp. A,sp. B,sp. A,curtilamellata,sp. A,sp. A,sp. A,sp. A,sp. C,species B,sp. A,sp. A,sp. A,sp. A,sp. A,sp. A,sp. A,xenolabis,sp. A,olivaceus,sp. A,sp. A,gracilis,sp. A,alaskensis,hilgendorfi,rickettsi,stearnsi,manhattensis,clava,sp. A,sp. A,amurensis,californica,arenaria,pilsbryi,modiolus,rectus,senhousia,galloprovincialis,lubrica,californica,conchaphila,wahlamatensis,nuttallii,fluminea,lucida,sicarius,transversum,casertanum,compressum,nasuta,petalum,sp. A,gemma,philippinarum,diomedea,auriformis,californica,columella,sp A,circumstriatus,anceps,dilatatus,plana,hydrobiid sp. A,tuberculata,sp E,sp A,sp D,species B,enosimensis,plana,sp. A,sp. A,sp. A,sp. A,Species A,sp. E,nematode sp. B,nematode sp. D,paleonemertean sp. A,graecense,sp. A,sp. B,harmeri,tigrina,planariid sp. A,triclad sp. A,triclad sp. D,turbellarian sp. A,turbellarian sp. C,turbellarian sp. D
Site,Year,Month,2970,2980,2910,2930,2655,2840,2850,2770,2800,2005,2070,2080,2090,2110,2130,2170,2190,2210,2250,2270,2290,2300,2330,2810,2450,2410,2430,2470,2490,2510,2530,2540,2550,2570,2590,2610,2630,2650,2670,2690,2710,2720,2725,2727,2730,3180,3170,3190,3195,3010,3200,3030,3320,3245,3391,3390,3210,3230,3340,3370,3330,3270,3240,3310,3280,3290,3300,3410,3450,3430,3460,3139,3138,3150,3140,3050,3060,3080,3130,3070,3090,3091,3096,3095,3110,3395,2285,3105,6230,6265,4510,4520,4524,4525,4670,4835,4830,4610,4630,4550,4560,4530,4570,4580,4740,4505,4750,4810,4506,4770,4720,4710,4730,4715,4229,4230,4210,3999,4000,4890,4892,4895,4990,4870,4950,4980,4981,4880,4930,4970,4330,4335,4400,4310,4410,4320,4350,4370,4101,4105,4100,4109,4110,4111,4050,4005,4020,4030,4090,4070,4270,4150,6010,6015,6020,5450,5530,5540,5550,5570,5571,5575,5580,5590,5600,5601,5630,5670,5675,5490,5870,5710,5712,5511,5750,5770,5790,5410,5990,5850,5520,5860,5140,5130,5235,5236,5240,5241,6225,6224,6223,6226,7000,6999,1001,1000,6890,6869,6870,6895,6679,6680,6690,6710,6670,6915,6715,6910,6778,6730,6780,6782,6740,6750,6770,6809,6810,6825,6850,6830,6501,6500,6590,6526,6570,6530,6565,6560,6660,6490,6630,6497,6491,6496,6492,6505,6520,1210,1270,1230,1290,1205,1299,1296,1298,1110,1130,1150,1151,7500,1010,1020,1030,1080,1090,1092,1093
C9-L,2007,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807692308,0,0,0,62.5,0,0,336.5384615,0,0,0,0,0,0,0,0,0,0,0,182.6923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.26923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9-L,2007,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807692308,0,14.42307692,0,240.3846154,0,0,230.7692308,9.615384615,0,0,0,0,0,0,0,0,0,0,466.3461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807692308,9.615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807692308,0,0,0,0,0,0,0,0,0,0,4.807692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.7692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9-L,2007,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.34615385,0,24.03846154,221.1538462,4.807692308,0,0,0,0,0,0,0,0,0,0,110.5769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.84615385,0,0,0,0,0,0,0,9.615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.807692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9-L,2007,April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23076923,19.23076923,4.807692308,0,4.807692308,0,293.2692308,4.807692308,0,418.2692308,4.807692308,0,0,4.807692308,0,0,0,0,0,0,0,331.7307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.615384615,1389.423077,0,0,0,0,0,0,0,947.1153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23076923,0,9.615384615,0,0,0,0,0,0,0,0,110.5769231,0,0,0,0,0,0,0,0,33.65384615,14.42307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.6538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
