,StationCode,SampleDate,Subregion.x,StationName.x,Project.x,Projectcode,n_taxa,n_E,n_P,n_T,n_O,n_D,n_Phylum_NA,n_Arthropoda,n_Annelida,n_Nematoda,n_Ectoprocta,n_Bacillariophyta,n_Cryptophyta,n_Heterokontophyta,n_Ochrophyta,n_Coelenterata,n_Nemertea,n_Mollusca,n_Platyhelminthes,n_Bryozoa,n_Cyanobacteria,n_Chlorophyta,n_Euglenozoa,n_Streptophyta,n_Rhodophyta,n_Chordata,geometry,,EPT_taxa,EPT_index,ETO_taxa,ETO_index,StationName.y,SampleDate.wq,Project.y,n,Subregion.y,n_Alk,mean_Alk,sd_Alk,min_Alk,max_Alk,n_N,mean_N,sd_N,min_N,max_N,n_Chl_F,mean_Chl_F,sd_Chl_F,min_Chl_F,max_Chl_F,n_Chl_TR,mean_Chl_TR,sd_Chl_TR,min_Chl_TR,max_Chl_TR,n_DO,mean_DO,sd_DO,min_DO,max_DO,n_pH,mean_pH,sd_pH,min_pH,max_pH,n_Sal,mean_Sal,sd_Sal,min_Sal,max_Sal,n_Secc,mean_Secc,sd_Secc,min_Secc,max_Secc,n_Cond,mean_Cond,sd_Cond,min_Cond,max_Cond,n_Temp,mean_Temp,sd_Temp,min_Temp,max_Temp,n_Turb,mean_Turb,sd_Turb,min_Turb,max_Turb,n_Vel,mean_Vel,sd_Vel,min_Vel,max_Vel
1,510STODWx,6/18/2014,Sacramento River,Stone Lakes,EPA 104b3 Depressional CRAM Validation,EPA_DEP_CRAM_VAL_2014,92,1,0,0,2,18,0,31,1,0,0,48,0,1,0,0,0,4,0,0,0,0,0,0,0,7,c(631303.413511781, 4252910.50748265),1,0.010869565,3,0.032608696,Stone Lakes,6/18/2014,EPA 104b3 Depressional CRAM Validation,16,Sacramento River,2,135,0,135,135,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2,7.69,1.654629868,6.52,8.86,2,7.575,0.049497475,7.54,7.61,2,0.25,0,0.25,0.25,0,NA,NA,NA,NA,2,487.5,4.949747468,484,491,2,21.64,0.014142136,21.63,21.65,2,NA,NA,NA,NA,0,NA,NA,NA,NA
2,543R00137,5/15/2012,Confluence,Deer Cr_137-543R00137,CCCWP Creek Status Monitoring in WY2012,CCCWP_CSM_WY2012,53,0,0,0,0,0,0,0,0,0,0,42,1,1,0,0,0,0,0,0,4,4,1,0,0,0,c(610743.757188754, 4197920.3588461),0,0,0,0,Deer Cr_137-543R00137,5/15/2012,CCCWP Creek Status Monitoring in WY2012,8,Confluence,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,NA,0,0,1,0,NA,0,0,1,8.65,NA,8.65,8.65,1,8.02,NA,8.02,8.02,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,2692,NA,2692,2692,1,19.36,NA,19.36,19.36,0,NA,NA,NA,NA,1,0.0309091,NA,0.0309091,0.0309091
3,543R01103,4/21/2015,Confluence,West Antioch Creek,CCCWP Creek Status Monitoring in WY2015,CCCWP_CSM_WY2015,89,1,0,2,1,10,0,15,1,0,0,59,0,1,0,0,0,3,1,0,2,6,0,0,1,0,c(604331.679868977, 4204394.81822132),3,0.033707865,4,0.04494382,West Antioch Creek,4/21/2015,CCCWP Creek Status Monitoring in WY2015,6,Confluence,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,10.37,NA,10.37,10.37,1,7.96,NA,7.96,7.96,1,1.58,NA,1.58,1.58,0,NA,NA,NA,NA,1,2640,NA,2640,2640,1,18.44,NA,18.44,18.44,0,NA,NA,NA,NA,1,0.06,NA,0.06,0.06
4,544CCC001,6/6/2011,Confluence,San Joaquin in Antioch Ship Channel,RWB5 Clear Lake and Delta Cyanobacteria FY1011,RWB5_CyanoBac_FY1011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,c(604801.103317801, 4208884.26294902),0,0,0,0,San Joaquin in Antioch Ship Channel,6/6/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1011,6,Confluence,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8.77,NA,8.77,8.77,1,7.13,NA,7.13,7.13,0,NA,NA,NA,NA,1,0.88,NA,0.88,0.88,1,153,NA,153,153,1,16.1,NA,16.1,16.1,1,8.7,NA,8.7,8.7,0,NA,NA,NA,NA
5,544CCC001,7/6/2011,Confluence,San Joaquin in Antioch Ship Channel,RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,c(604801.103317801, 4208884.26294902),0,0,0,0,San Joaquin in Antioch Ship Channel,7/6/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Confluence,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,7.95,NA,7.95,7.95,1,7.6,NA,7.6,7.6,0,NA,NA,NA,NA,1,0.92,NA,0.92,0.92,1,126,NA,126,126,1,22.09,NA,22.09,22.09,1,8.6,NA,8.6,8.6,0,NA,NA,NA,NA
6,544CCC001,8/19/2011,Confluence,San Joaquin in Antioch Ship Channel,RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,c(604801.103317801, 4208884.26294902),0,0,0,0,San Joaquin in Antioch Ship Channel,8/19/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Confluence,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8,NA,8,8,1,7.5,NA,7.5,7.5,0,NA,NA,NA,NA,1,0.6,NA,0.6,0.6,1,704,NA,704,704,1,22,NA,22,22,1,13,NA,13,13,0,NA,NA,NA,NA
7,544CCC001,9/20/2011,Confluence,San Joaquin in Antioch Ship Channel,RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,c(604801.103317801, 4208884.26294902),0,0,0,0,San Joaquin in Antioch Ship Channel,9/20/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Confluence,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8.3,NA,8.3,8.3,1,7.94,NA,7.94,7.94,0,NA,NA,NA,NA,1,0.88,NA,0.88,0.88,1,318,NA,318,318,1,21.6,NA,21.6,21.6,1,8.6,NA,8.6,8.6,0,NA,NA,NA,NA
8,544CCC001,10/17/2011,Confluence,San Joaquin in Antioch Ship Channel,RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,c(604801.103317801, 4208884.26294902),0,0,0,0,San Joaquin in Antioch Ship Channel,10/17/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Confluence,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8.62,NA,8.62,8.62,1,7.74,NA,7.74,7.74,0,NA,NA,NA,NA,1,0.96,NA,0.96,0.96,1,264,NA,264,264,1,18.3,NA,18.3,18.3,1,5.9,NA,5.9,5.9,0,NA,NA,NA,NA
9,544CCC003,6/6/2011,Central Delta,Old River at Frankís Tract (SJR -flooded island),RWB5 Clear Lake and Delta Cyanobacteria FY1011,RWB5_CyanoBac_FY1011,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,c(621529.815884208, 4211580.04278371),0,0,0,0,Old River at Frank∆s Tract (SJR -flooded island),6/6/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1011,6,Central Delta,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8.57,NA,8.57,8.57,1,7.24,NA,7.24,7.24,0,NA,NA,NA,NA,1,1.6,NA,1.6,1.6,1,168,NA,168,168,1,17.1,NA,17.1,17.1,1,4.9,NA,4.9,4.9,0,NA,NA,NA,NA
10,544CCC003,7/6/2011,Central Delta,Old River at Frankís Tract (SJR -flooded island),RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,c(621529.815884208, 4211580.04278371),0,0,0,0,Old River at Frank∆s Tract (SJR -flooded island),7/6/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Central Delta,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8.29,NA,8.29,8.29,1,7.87,NA,7.87,7.87,0,NA,NA,NA,NA,1,1.52,NA,1.52,1.52,1,119,NA,119,119,1,22.69,NA,22.69,22.69,1,3,NA,3,3,0,NA,NA,NA,NA
11,544CCC003,8/19/2011,Central Delta,Old River at Frankís Tract (SJR -flooded island),RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,c(621529.815884208, 4211580.04278371),0,0,0,0,Old River at Frank∆s Tract (SJR -flooded island),8/19/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Central Delta,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,7.8,NA,7.8,7.8,1,7.43,NA,7.43,7.43,0,NA,NA,NA,NA,1,1.24,NA,1.24,1.24,1,219,NA,219,219,1,22.7,NA,22.7,22.7,1,6.7,NA,6.7,6.7,0,NA,NA,NA,NA
12,544CCC003,9/20/2011,Central Delta,Old River at Frankís Tract (SJR -flooded island),RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,c(621529.815884208, 4211580.04278371),0,0,0,0,Old River at Frank∆s Tract (SJR -flooded island),9/20/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Central Delta,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8.47,NA,8.47,8.47,1,8.06,NA,8.06,8.06,0,NA,NA,NA,NA,1,1.48,NA,1.48,1.48,1,186,NA,186,186,1,22.1,NA,22.1,22.1,1,5.6,NA,5.6,5.6,0,NA,NA,NA,NA
13,544CCC003,10/17/2011,Central Delta,Old River at Frankís Tract (SJR -flooded island),RWB5 Clear Lake and Delta Cyanobacteria FY1112,RWB5_CyanoBac_FY1112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,c(621529.815884208, 4211580.04278371),0,0,0,0,Old River at Frank∆s Tract (SJR -flooded island),10/17/2011,RWB5 Clear Lake and Delta Cyanobacteria FY1112,6,Central Delta,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1,8.38,NA,8.38,8.38,1,7.8,NA,7.8,7.8,0,NA,NA,NA,NA,1,2.12,NA,2.12,2.12,1,159,NA,159,159,1,18.6,NA,18.6,18.6,1,NA,NA,NA,NA,0,NA,NA,NA,NA
