,Program,Project,Projectcode,Parentproject,StationName,StationCode,Datum,GeometryShape,SampleDate,CollectionTime,SamplingAgency,ProtocolCode,LocationCode,HydroModLoc,Hydromod,CollectionReplicate,CollectionMethodName,SampleType,PersonnelCode,SampleComments,BACollectionComments,CollectionDeviceName,LabSampleID,FinalID,Phylum,Class,Orders,Family,Genus,Species,LifeStageName,DistinctOrganism,Counts,BAResult,Unit,TaxonomicQualifier,ExcludedTaxa,Comments,SieveSize,SieveSizeUnit,CollectionDepth,UnitCollectionDepth,GrabSize,UnitGrabSize,ResQualCode,ComplianceCode,county,county_fips,regional_board,rb_number,huc8,huc8_number,huc10,huc10_number,huc12,huc12_number,waterbody_type,SampleID,geometry,Subregion,
1,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Americorophium spinicorne,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Adult,-1,NA,45,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
2,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Americorophium spinicorne,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,Adult,-1,NA,61,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
3,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Amphiporus,Nemertea,Enopla,Monostilifera,Amphiporidae,Amphiporus,NA,Adult,0,NA,1,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
4,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Boccardiella ligerica,Annelida,Polychaeta,Spionida,Spionidae,Boccardiella,ligerica,Adult,-1,NA,7,count,NA,NA,one specimen pulled for collection,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
5,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Corbicula fluminea,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,Corbicula fluminea,Adult,-1,NA,13,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
6,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Corbula amurensis,Mollusca,Bivalvia,NA,NA,NA,NA,Adult,-1,NA,1,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
7,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Gammarus daiberi,Arthropoda,Malacostraca,NA,NA,NA,NA,Adult,-1,NA,12,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
8,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Gammarus daiberi,Arthropoda,Malacostraca,NA,NA,NA,NA,Adult,-1,NA,4,count,NA,NA,NA,1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
9,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Hediste limnicola,NA,NA,NA,NA,NA,NA,Adult,-1,NA,3,count,NA,NA,"all specimens vouchered, formally Neanthes limnicola - put in Hediste by Bakken et al 2005",1 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
10,SF Bay Regional Monitoring for Water Quality,2010 RMP Status and Trends,10RMP2ST,Regional Monitoring Program - Status and Trends,San Joaquin River (BG30),BG30,WGS84,NA,2/10/2010,1899-12-31 08:32:00,"Applied Marine Sciences, Inc. California",RMP,OpenWater1,NA,NA,1,Sediment_Grab,Grab,0,NA,NA,CCSF Ponar (0.05m2),1002044709,Marenzelleria viridis,Annelida,Polychaeta,NA,NA,NA,NA,Adult,-1,NA,2,count,NA,NA,NA,0.5 mm,0,10,cm,0.05,m2,=,Com,Contra Costa,13,Central Valley,5,NA,NA,NA,NA,NA,NA,San Francisco Bay,NA,c(-121.806, 38.0205),Confluence
